coicop_code,susenas_code,susenas_item,food_group,source,source_codes,energy,protein,fat,dha_epa,carbohydrate,fiber,ash,retinol,beta_carotene,thiamin,riboflavin,niacin,vitamin_c,calcium,copper,iron,phosphorus,potassium,sodium,zinc,bdd
01.1.7.3.005,80,"Tomat sayur, tomat ceri",SAYUR-SAYURAN,tkpi,DR160; DR161; DR162,22.666666666666668,1.4333333333333331,0.4666666666666667,0,3.8333333333333335,1.2333333333333334,1.3,0,408.3333333333333,0.06,0.04666666666666667,0.6,24.666666666666668,6.666666666666667,0.09000000000000001,0.5,39.666666666666664,200.03333333333333,9.966666666666669,0.16666666666666669,98.33333333333331
01.1.7.4.001,81,Wortel,SAYUR-SAYURAN,tkpi,DR166,36,1,0.6,0,7.9,1,0.6,0,3784,0.04,0.04,1,18,45,0.06,1,74,245,70,0.3,80
01.1.7.3.004,82,Mentimun,SAYUR-SAYURAN,tkpi,DR109; DR110; DR111,9,0.4,0.16666666666666669,0,1.7666666666666666,0.5333333333333333,0.4,0,20.666666666666668,0.01666666666666666,0.02333333333333333,0.1,3,21.333333333333332,0.02333333333333333,0.8,98.33333333333331,72.7,4.6,0.1,75.33333333333333
01.1.7.1.010,83,Daun ketela pohon/daun singkong,SAYUR-SAYURAN,tkpi,DR071; DR072; DR073; DR074,79.5,7.85,1.025,0,12.525,4.8999999999999995,1.625,0,5907.5,0.3125,0.425,2.375,159.25,206.25,0.17500000000000002,2.4,97.75,259.325,35.475,2.5500000000000003,87
01.1.7.3.023/26,84,Terong,SAYUR-SAYURAN,tkpi,DR154; DR155; DR156; DR157; DR158; DR159,39.833333333333336,1.7166666666666668,0.5,0,7.4,2.5833333333333335,0.7333333333333334,0,172.6,0.2066666666666667,0.115,0.4,6.5,20,0.25,0.9666666666666668,77.83333333333334,134.425,40.28,0.36,100
01.1.7.1.017,85,Tauge,SAYUR-SAYURAN,tkpi,DR002; DR148; DR149; DR150,46.75,5.525,1.125,0,5.075,1.525,0.775,0,85,0.1025,0.1275,0.925,20.25,80.75,0.1625,1.2,118.75,159.375,7,0.5,95
01.1.7.3.014/15,86,"Labu, labu siam, labu parang",SAYUR-SAYURAN,tkpi,DR121; DR122; DR123; DR124,33,1,0.225,0,6.775,2.5,0.725,0,585,0.085,0.03499999999999999,0.425,20.5,27.75,0.16749999999999998,0.7999999999999999,71.75,227.875,71.475,0.9,78.5
01.1.7.1.026,87,Bahan sayur sop/cap cay/ kimlo (paket),SAYUR-SAYURAN,tkpi,DP053,47.06,1.915,0.9700000000000001,0,8.476999999999999,1.795,1.099,0,3775.390000000001,0.1432,0.1339,0.9500000000000001,14.19,75.94999999999999,0.3246000000000001,1.79,57.91999999999999,209.234,39.28500000000001,0.385,79.50000000000001
01.1.7.1.024/25,88,Bahan sayur asam/lodeh (paket),SAYUR-SAYURAN,tkpi,DP047,87.44000000000001,3.314999999999999,4.468999999999999,0,9.498000000000001,3.543000000000001,0.9150000000000003,0,222.28,0.2367,0.08070000000000001,0.678,18.88,49.73,0.1991,1.454,77.83000000000003,260.633,69.07799999999999,0.6680000000000001,90.92
01.1.7.3.017,89,Nangka muda,SAYUR-SAYURAN,tkpi,DR130,57,2,0.4,0,11.3,8.3,0.9,0,21,0.07,0.06,0.7,9,45,0.04,0.5,29,246.5,1.1,0.1,80
01.1.7.3.020,90,Pepaya muda,SAYUR-SAYURAN,tkpi,DR133,29,2.1,0.1,0,4.9,2.1,0.6,0,0,0.02,0.03,0.3,19,50,0.01,0.4,16,211.2,21.9,0,65
01.1.7.3.022,91,Jengkol,SAYUR-SAYURAN,tkpi,DR093,192,5.4,0.3,0,40.7,1.5,0.9,0,373,0.05,0.2,0.5,31,4,0.3,0.7,150,241,60,0.6,95
01.1.7.4.006,92,Bawang merah,SAYUR-SAYURAN,tkpi,NR007,46,1.5,0.3,0,9.2,1.7,1,0,2,0.03,0.04,0.2,2,36,0.06,0.8,40,178.6,7,0.2,90
01.1.7.4.007,93,Bawang putih,SAYUR-SAYURAN,tkpi,NR008,112,4.5,0.2,0,23.1,0.6,1.8,0,0,0.22,0.07,0.3,15,42,0.09,1,134,665.7,46,0.4,88
01.1.7.3.012,94,Cabe merah,SAYUR-SAYURAN,tkpi,NR014,36,1,0.3,0,7.3,1.4,0.5,0,5833,0.05,0.09,3,18,29,0.12,0.5,24,272.4,23,0.2,85
01.1.7.3.016,95,Cabe hijau,SAYUR-SAYURAN,tkpi,NR012,26,0.7,0.3,0,5.2,2.6,0.4,0,44,0.05,0.06,0.4,84,14,0.08,0.4,23,151,7,0.2,82
01.1.7.3.013,96,Cabe rawit,SAYUR-SAYURAN,tkpi,NR015,120,4.7,2.4,0,19.9,15.2,1.8,0,1694,0.24,0.09,1.7,70,45,0.29,2.5,85,706.2,34,0.6,85
01.1.7.1/72/73/74/76,97,Sayur-sayuran lainnya,SAYUR-SAYURAN,tkpi,DR001; DR003; DR004; DR005; DR006; DR007; DR010; DR011; DR012; DR014; DR015; DR016; DR017; DR018; DR019; DR020; DR021; DR022; DR023; DR024; DR025; DR026; DR027; DR028; DR029; DR030; DR031; DR032; DR033; DR034; DR035; DR036; DR037; DR038; DR039; DR040; DR041; DR043; DR045; DR046; DR047; DR048; DR049; DR050; DR051; DR052; DR053; DR054; DR055; DR056; DR057; DR058; DR059; DR060; DR061; DR062; DR063; DR064; DR065; DR066; DR067; DR068; DR069; DR070; DR075; DR076; DR077; DR078; DR079; DR080; DR081; DR082; DR083; DR084; DR085; DR086; DR087; DR088; DR089; DR090; DR091; DR092; DR094; DR095; DR096; DR098; DR099; DR102; DR103; DR104; DR105; DR106; DR107; DR108; DR112; DR113; DR115; DR116; DR117; DR118; DR119; DR120; DR125; DR126; DR127; DR128; DR131; DR132; DR134; DR135; DR136; DR137; DR138; DR139; DR140; DR145; DR146; DR147; DR151; DR152; DR153; DR163; DR164; DR165,57.37903225806452,3.193548387096774,0.6508064516129033,0,10.40967741935484,3.9217391304347826,1.395967741935484,0,1877.6930693069312,0.19580645161290325,0.1906862745098039,1.3443298969072164,26.89256198347108,137.10483870967738,11.089583333333326,3.0447154471544717,83.49193548387096,335.30792079207924,36.44807692307693,0.7221052631578947,75.23418803418804
,98,KACANG-KACANGAN,KACANG-KACANGAN,food_category,,,,,,,,,,,,,,,,,,,,,,0
01.1.6.8.010,99,Kacang tanah tanpa kulit,KACANG-KACANGAN,tkpi,CR031,559,26.9,44.2,0,23.6,2.6,2.7,0,0,0.3,29.47,8,0,74,520.4,1.9,393,202.3,33,1.7,100
01.1.6.8.004,100,Kacang kedele,KACANG-KACANGAN,tkpi,CR017; CR018; CR021,340.6666666666667,29.2,11.6,0,40.333333333333336,7.066666666666667,4.133333333333333,0,147.5,0.64,0.15333333333333332,1.6333333333333333,6,186,1.1733333333333331,7.566666666666666,469.3333333333333,528.1,79.66666666666666,3.566666666666667,100
