food_item_id_urut,n_records,median_g_day,max_g_day,n_implausible_volume,median_r_protein,median_r_energy,suspect_misclassification,n_implausible_fct,implausible_nutrient,value,median_across_items
74,3533,23.809523809523807,285.7142857142857,5,1.3076923076923075,0.7887323943661971,FALSE,3,total_carotene,5542,303.77450980392155
74,3533,23.809523809523807,285.7142857142857,5,1.3076923076923075,0.7887323943661971,FALSE,3,beta_carotene,2804.5,22.625
74,3533,23.809523809523807,285.7142857142857,5,1.3076923076923075,0.7887323943661971,FALSE,3,vitamin_c,20,1
83,1631,28.571428571428573,357.14285714285717,2,0.8662420382165604,0.9182389937106917,FALSE,3,total_carotene,10026,303.77450980392155
83,1631,28.571428571428573,357.14285714285717,2,0.8662420382165604,0.9182389937106917,FALSE,3,beta_carotene,5907.5,22.625
83,1631,28.571428571428573,357.14285714285717,2,0.8662420382165604,0.9182389937106917,FALSE,3,vitamin_c,159.25,1
69,290,12.857142857142858,114.28571428571429,0,0.9999999999999999,0.9922027290448343,FALSE,3,calcium,904,48.4323324541285
69,290,12.857142857142858,114.28571428571429,0,0.9999999999999999,0.9922027290448343,FALSE,3,fat,30,2.4
69,290,12.857142857142858,114.28571428571429,0,0.9999999999999999,0.9922027290448343,FALSE,3,riboflavin,1.39,0.116410256410256
77,449,16.571428571428573,142.85714285714286,0,1.1778625414989052,0.844988344988345,FALSE,3,total_carotene,4318.5,303.77450980392155
77,449,16.571428571428573,142.85714285714286,0,1.1778625414989052,0.844988344988345,FALSE,3,beta_carotene,1515.6,22.625
77,449,16.571428571428573,142.85714285714286,0,1.1778625414989052,0.844988344988345,FALSE,3,vitamin_c,37.2,1
81,315,12.857142857142858,107.14285714285714,0,1,1,FALSE,3,total_carotene,7125,303.77450980392155
81,315,12.857142857142858,107.14285714285714,0,1,1,FALSE,3,beta_carotene,3784,22.625
81,315,12.857142857142858,107.14285714285714,0,1,1,FALSE,3,vitamin_c,18,1
99,223,11.904761904761903,71.42857142857143,0,0.9405204460966545,0.8085867620751341,FALSE,3,copper,520.4,0.1725
99,223,11.904761904761903,71.42857142857143,0,0.9405204460966545,0.8085867620751341,FALSE,3,fat,44.2,2.4
99,223,11.904761904761903,71.42857142857143,0,0.9405204460966545,0.8085867620751341,FALSE,3,riboflavin,29.47,0.116410256410256
143,335,2.857142857142857,20,0,0.8,0.7129870053475935,FALSE,3,sodium,890,60
143,335,2.857142857142857,20,0,0.8,0.7129870053475935,FALSE,3,beta_carotene,357,22.625
143,335,2.857142857142857,20,0,0.8,0.7129870053475935,FALSE,3,vitamin_c,11,1
140,2095,2.380952380952381,35.714285714285715,8,0.7994987368421053,0.5181086384976527,FALSE,2,sodium,1114,60
140,2095,2.380952380952381,35.714285714285715,8,0.7994987368421053,0.5181086384976527,FALSE,2,ash,21,1.05
115,2560,71.42857142857143,1028.5714285714287,5,1.1339747166472225,1.3492545610106468,FALSE,2,vitamin_c,12.75,1
115,2560,71.42857142857143,1028.5714285714287,5,1.1339747166472225,1.3492545610106468,FALSE,2,copper,9.9625,0.1725
136,488,0.6394557823129252,8.928571428571429,5,1,0.9665071770334929,FALSE,2,calcium,630,48.4323324541285
136,488,0.6394557823129252,8.928571428571429,5,1,0.9665071770334929,FALSE,2,iron,17.9,1.62772931506849
94,2698,4.761904761904762,85.71428571428571,4,1,0.8627450980392157,FALSE,2,beta_carotene,5833,22.625
94,2698,4.761904761904762,85.71428571428571,4,1,0.8627450980392157,FALSE,2,vitamin_c,18,1
73,1324,20.476190476190478,285.7142857142857,2,0.5806451612903225,0.5614035087719298,FALSE,2,beta_carotene,5012,22.625
73,1324,20.476190476190478,285.7142857142857,2,0.5806451612903225,0.5614035087719298,FALSE,2,vitamin_c,51.5,1
75,218,17.857142857142858,214.28571428571428,2,0.717948717948718,0.6,FALSE,2,beta_carotene,5022.5,22.625
75,218,17.857142857142858,214.28571428571428,2,0.717948717948718,0.6,FALSE,2,vitamin_c,33,1
86,298,24.285714285714285,285.7142857142857,2,0.7745222929936305,0.7400115807759119,FALSE,2,beta_carotene,585,22.625
86,298,24.285714285714285,285.7142857142857,2,0.7745222929936305,0.7400115807759119,FALSE,2,vitamin_c,20.5,1
119,303,40.816326530612244,800,2,0.5756732204514252,0.643922417219859,FALSE,2,vitamin_c,31,1
119,303,40.816326530612244,800,2,0.5756732204514252,0.643922417219859,FALSE,2,copper,27.1790476190476,0.1725
107,331,35.714285714285715,476.1904761904762,1,1.1005859375000009,0.9027994791666679,FALSE,2,copper,93.7157142857143,0.1725
107,331,35.714285714285715,476.1904761904762,1,1.1005859375000009,0.9027994791666679,FALSE,2,vitamin_c,33.4285714285714,1
112,1259,95.23809523809523,952.3809523809524,1,1,0.8993288590604027,FALSE,2,niacin,136.5,1.6
112,1259,95.23809523809523,952.3809523809524,1,1,0.8993288590604027,FALSE,2,vitamin_c,53,1
5,28,32.142857142857146,142.85714285714286,0,1.205825242718446,0.897196261682242,FALSE,2,total_carotene,3271.75,303.77450980392155
5,28,32.142857142857146,142.85714285714286,0,1.205825242718446,0.897196261682242,FALSE,2,beta_carotene,571.4,22.625
61,6,20.833333333333332,35.714285714285715,0,1.0293380642159164,0.9282397959183685,FALSE,2,total_carotene,28000,303.77450980392155
61,6,20.833333333333332,35.714285714285715,0,1.0293380642159164,0.9282397959183685,FALSE,2,vitamin_c,10.0909090909091,1
65,15,12.5,75,0,1.0852387944898958,1.0644257703081232,FALSE,2,beta_carotene,454,22.625
65,15,12.5,75,0,1.0852387944898958,1.0644257703081232,FALSE,2,thiamin,1.585,0.1
78,214,14.285714285714286,107.14285714285714,0,1,1,FALSE,2,beta_carotene,772,22.625
78,214,14.285714285714286,107.14285714285714,0,1,1,FALSE,2,vitamin_c,11,1
80,3270,17.857142857142858,142.85714285714286,0,0.6740244383129699,0.852442671984047,FALSE,2,beta_carotene,408.333333333333,22.625
80,3270,17.857142857142858,142.85714285714286,0,0.6740244383129699,0.852442671984047,FALSE,2,vitamin_c,24.6666666666667,1
108,739,47.61904761904761,428.57142857142856,0,0.6829524560021014,0.8236901680300885,FALSE,2,total_carotene,5136.66666666667,303.77450980392155
108,739,47.61904761904761,428.57142857142856,0,0.6829524560021014,0.8236901680300885,FALSE,2,vitamin_c,28,1
118,355,17.857142857142858,107.14285714285714,0,0.9223492313756431,1.0767696909272173,FALSE,2,beta_carotene,408.333333333333,22.625
118,355,17.857142857142858,107.14285714285714,0,0.9223492313756431,1.0767696909272173,FALSE,2,vitamin_c,24.6666666666667,1
122,3117,35.714285714285715,333.33333333333337,0,NA,0.816289592760181,FALSE,2,beta_carotene,18181,22.625
122,3117,35.714285714285715,333.33333333333337,0,NA,0.816289592760181,FALSE,2,fat,100,2.4
159,1942,21.428571428571427,900,54,1.3374655647382923,1.1470125786163523,FALSE,1,total_carotene,3140,303.77450980392155
137,1772,0.2857142857142857,10.714285714285714,10,0.9999999999999999,0.9835616438356164,FALSE,1,iron,16.4,1.62772931506849
147,3172,8.16326530612245,137.14285714285714,10,1,1.3126843657817109,FALSE,1,sodium,760,60
9,2488,57.142857142857146,1142.857142857143,7,1,1,FALSE,1,vitamin_c,31,1
160,821,11.904761904761903,285.7142857142857,6,0.9846153846153846,1.2404494382022473,FALSE,1,vitamin_c,19,1
110,1923,47.61904761904761,476.1904761904762,3,1.2857142857142858,0.9517241379310345,FALSE,1,vitamin_c,35.5,1
93,4910,3.5714285714285716,57.142857142857146,2,1,0.8482142857142856,FALSE,1,vitamin_c,15,1
10,858,47.61904761904761,857.1428571428571,1,1.1324200913241977,1.313507985209661,FALSE,1,vitamin_c,16,1
103,770,18.571428571428573,214.28571428571428,1,0.8944954128440378,0.9398382204246725,FALSE,1,ash,12.3153846153846,1.05
109,88,28.571428571428573,321.42857142857144,1,1.2073863636363635,0.957509881422925,FALSE,1,copper,117.18,0.1725
117,192,60.374149659863946,857.1428571428571,1,0.9999999999999998,1,FALSE,1,beta_carotene,315,22.625
138,365,1.1904761904761905,14.285714285714286,1,0.7297297297297297,1.1067944883870404,FALSE,1,beta_carotene,264.8,22.625
13,171,14.285714285714286,71.42857142857143,0,1.47,0.638235294117647,FALSE,1,vitamin_c,29.5,1
55,79,35.714285714285715,114.28571428571429,0,1,1.0109223300970873,FALSE,1,fat,40,2.4
56,282,35.714285714285715,142.85714285714286,0,1.7241379310344827,1.7472807220550797,FALSE,1,fat,25,2.4
57,123,35.714285714285715,142.85714285714286,0,1.7241379310344827,1.7472807220550797,FALSE,1,fat,25,2.4
59,1,50,50,0,0.6373171597633128,0.9139530079698356,FALSE,1,sodium,678.5,60
76,194,17.857142857142858,71.42857142857143,0,0.7974683544303797,0.9282700421940929,FALSE,1,beta_carotene,862,22.625
79,1137,17.857142857142858,142.85714285714286,0,1.3043478260869565,0.967741935483871,FALSE,1,vitamin_c,46,1
85,284,7.55952380952381,57.142857142857146,0,0.7049297451774232,0.7655502392344498,FALSE,1,vitamin_c,20.25,1
