year,province,district,fish_group,species,sector,volume_ton,value_rp_million,price_rp_kg
2020,MALUKU UTARA,PULAU TALIABU,TENGGIRI,TENGGIRI BATANG; TENGGIRI INDIA,LAUT,352.41,7048,20000
2020,MALUKU UTARA,KOTA TIDORE KEPULAUAN,EKOR KUNING,LOLOSI PAPAN,LAUT,345.77,11451,33119
2020,MALUKU UTARA,HALMAHERA TENGAH,KAKATUA,KAKATUA,LAUT,332.64,8316,25000
2020,MALUKU UTARA,HALMAHERA UTARA,TONGKOL,TONGKOL BANYAR,LAUT,324.03,6480,20000
2020,MALUKU UTARA,HALMAHERA UTARA,KAKATUA,KAKATUA BIRU,LAUT,316.33,7908,25000
2020,MALUKU UTARA,KEPULAUAN SULA,TONGKOL,TONGKOL KOMO,LAUT,301.53,6031,20000
2020,MALUKU UTARA,KEPULAUAN SULA,TENGGIRI,TENGGIRI PAPAN,LAUT,295.12,7378,25000
2020,MALUKU UTARA,KEPULAUAN SULA,LAYANG,LAYANG BENGGOL,LAUT,292.58,5852,20000
2020,MALUKU UTARA,PULAU TALIABU,BARONANG,BARONANG ANGIN,LAUT,276.98,5540,20000
2020,MALUKU UTARA,KEPULAUAN SULA,KACI-KACI,KAKAP PUTIH,LAUT,272.99,5460,20000
2020,MALUKU UTARA,HALMAHERA TIMUR,TUNA,TUNA SIRIP KUNING; MADIDIHANG,LAUT,270.62,5412,20000
2020,MALUKU UTARA,HALMAHERA TENGAH,BARONANG,BARONANG,LAUT,260.72,6518,25000
2020,MALUKU UTARA,HALMAHERA TIMUR,KAKAP,KAKAP PUTIH; BARAMUNDI,LAUT,258.06,6451,25000
2020,MALUKU UTARA,KOTA TERNATE,JULUNG-JULUNG,JULUNG-JULUNG,LAUT,258.01,5148,19953
2020,MALUKU UTARA,KEPULAUAN SULA,SELAR,SELAR BENTONG,LAUT,247.16,4943,20000
2020,MALUKU UTARA,PULAU MOROTAI,JULUNG-JULUNG,JULUNG-JULUNG,LAUT,243.28,4866,20000
2020,MALUKU UTARA,HALMAHERA UTARA,KACI-KACI,KAKAP PUTIH,LAUT,235.87,4717,20000
2020,MALUKU UTARA,KOTA TERNATE,EKOR KUNING,LOLOSI PAPAN,LAUT,234.6,6146,26196
2020,MALUKU UTARA,PULAU MOROTAI,KURISI,KURISI,LAUT,228.29,5676,24863
2020,MALUKU UTARA,HALMAHERA UTARA,EKOR KUNING,LOLOSI PAPAN,LAUT,214.42,6433,30000
2020,MALUKU UTARA,HALMAHERA UTARA,TENGGIRI,TENGGIRI BATANG; TENGGIRI INDIA,LAUT,210.95,5193,24615
2020,MALUKU UTARA,HALMAHERA TIMUR,KERAPU,KERAPU MERAH,LAUT,203.27,6098,30000
2020,MALUKU UTARA,KOTA TERNATE,KACI-KACI,KAKAP PUTIH,LAUT,200.94,4019,20000
2020,MALUKU UTARA,HALMAHERA TIMUR,KAKAP,KURISI BALI,LAUT,194.08,3882,20000
2020,MALUKU UTARA,KOTA TERNATE,BAYEMAN,KAKAKTUA PUTIH,LAUT,192.64,4575,23750
2020,MALUKU UTARA,HALMAHERA TENGAH,KURISI,KURISI BALI,LAUT,186.62,3732,20000
2020,MALUKU UTARA,KOTA TIDORE KEPULAUAN,TERI,TERI NASI,LAUT,178.5,1785,10000
2020,MALUKU UTARA,HALMAHERA SELATAN,BARONANG,BARONANG ANGIN,LAUT,177.67,3553,20000
2020,MALUKU UTARA,PULAU TALIABU,TERBANG,TERBANG; TORANI,LAUT,170.1,2211,13000
2020,MALUKU UTARA,KOTA TERNATE,TONGKOL,TONGKOL KOMO,LAUT,159.21,3184,20000
2020,MALUKU UTARA,HALMAHERA TENGAH,KAKAP,KAKAP MERAH UTARA,LAUT,158.19,3164,20000
2020,MALUKU UTARA,HALMAHERA TIMUR,KAKATUA,KAKATUA BIRU,LAUT,153.07,3061,20000
2020,MALUKU UTARA,KOTA TERNATE,CUMI-CUMI,CUMI-CUMI,LAUT,146.3,2020,13809
2020,MALUKU UTARA,HALMAHERA TIMUR,TENGGIRI,TENGGIRI BATANG; TENGGIRI INDIA,LAUT,145.39,2908,20000
2020,MALUKU UTARA,HALMAHERA UTARA,KUWE,KUWE,LAUT,144,2880,20000
2020,MALUKU UTARA,HALMAHERA SELATAN,KEMBUNG,KEMBUNG LELAKI,LAUT,143.58,2872,20000
2020,MALUKU UTARA,PULAU MOROTAI,KUWE,KUWE,LAUT,142.28,3557,25000
2020,MALUKU UTARA,KOTA TIDORE KEPULAUAN,CUMI-CUMI,CUMI-CUMI,LAUT,136.01,2040,15000
2020,MALUKU UTARA,KOTA TERNATE,SELAR,SELAR HIJAU,LAUT,133.51,2670,20000
2020,MALUKU UTARA,KOTA TERNATE,LENCAM,LENCAM,LAUT,131.75,5270,40000
2020,MALUKU UTARA,KOTA TERNATE,KUWE,KUWE,LAUT,130.6,5877,45000
2020,MALUKU UTARA,PULAU TALIABU,CUMI-CUMI,CUMI-CUMI,LAUT,128.48,1445,11250
2020,MALUKU UTARA,KOTA TIDORE KEPULAUAN,BIJI NANGKA,BIJI NANGKA KARANG,LAUT,127.26,2545,20000
2020,MALUKU UTARA,KOTA TERNATE,KAKAP,PINJALO,LAUT,117.84,4713,40000
2020,MALUKU UTARA,PULAU TALIABU,LEMURU,TEMBANG,LAUT,114.41,1144,10000
2020,MALUKU UTARA,KOTA TERNATE,KEMBUNG,KEMBUNG,LAUT,112.35,2716,24178
2020,MALUKU UTARA,HALMAHERA TIMUR,BARONANG,BARONANG ANGIN,LAUT,110.53,2211,20000
2020,MALUKU UTARA,KOTA TERNATE,TONGKOL,TONGKOL,LAUT,105.03,1398,13310
2020,MALUKU UTARA,PULAU MOROTAI,TONGKOL,TONGKOL KOMO,LAUT,104.4,2088,20000
2020,MALUKU UTARA,PULAU MOROTAI,TERI,TERI NASI,LAUT,100.42,1130,11250
2020,MALUKU UTARA,KEPULAUAN SULA,TENGGIRI,TENGGIRI BATANG; TENGGIRI INDIA,LAUT,98.37,1967,20000
2020,MALUKU UTARA,KOTA TERNATE,KUWE,KUWE SIRIP BIRU,LAUT,87.69,2083,23750
2020,MALUKU UTARA,HALMAHERA BARAT,KAKAP,KAKAP MERAH,LAUT,87.34,2074,23750
2020,MALUKU UTARA,HALMAHERA TIMUR,KACI-KACI,KAKAP PUTIH,LAUT,86.02,1720,20000
2020,MALUKU UTARA,KOTA TIDORE KEPULAUAN,BARONANG,BARONANG,LAUT,85.95,1719,20000
2020,MALUKU UTARA,HALMAHERA UTARA,LENCAM,LENCAM,LAUT,85.32,2133,25000
2020,MALUKU UTARA,PULAU MOROTAI,LAYANG,LAYANG BIRU,LAUT,79.3,1586,20000
2020,MALUKU UTARA,KOTA TERNATE,KURISI,KERISI,LAUT,69.35,2774,40000
2020,MALUKU UTARA,KOTA TERNATE,TERI,TERI NASI,LAUT,68.94,689,10000
2020,MALUKU UTARA,HALMAHERA BARAT,LAYUR,CENDRO,LAUT,67.31,673,10000
2020,MALUKU UTARA,KOTA TIDORE KEPULAUAN,KAKAP,KAKAP PUTIH; BARAMUNDI,LAUT,59.36,1187,20000
2020,MALUKU UTARA,KOTA TIDORE KEPULAUAN,KAKAP,KAKAP MERAH,LAUT,57.84,1157,20000
2020,MALUKU UTARA,KOTA TIDORE KEPULAUAN,KURISI,KURISI,LAUT,54.25,1085,20000
2020,MALUKU UTARA,KOTA TIDORE KEPULAUAN,TENGGIRI,TENGGIRI,LAUT,53.93,1079,20000
2020,MALUKU UTARA,KOTA TERNATE,KERAPU,KERAPU BATU,LAUT,53.04,2387,45000
2020,MALUKU UTARA,HALMAHERA SELATAN,TUNA,TUNA MATA BESAR,LAUT,52.86,1579,29871
2020,MALUKU UTARA,HALMAHERA UTARA,BAYEMAN,KAKAKTUA PUTIH,LAUT,52.72,1054,20000
2020,MALUKU UTARA,KOTA TIDORE KEPULAUAN,KERAPU,KERAPU KARANG,LAUT,50.87,1281,25190
2020,MALUKU UTARA,KOTA TERNATE,KURISI,KURISI,LAUT,48.91,1957,40000
2020,MALUKU UTARA,HALMAHERA BARAT,KACI-KACI,KAKAP PUTIH,LAUT,48.17,1204,25000
2020,MALUKU UTARA,HALMAHERA BARAT,KERAPU,KERAPU,LAUT,47.48,1662,35000
2020,MALUKU UTARA,KOTA TERNATE,TERI,TERI BULU AYAM,LAUT,45.96,460,10000
2020,MALUKU UTARA,KOTA TIDORE KEPULAUAN,LEMURU,TEMBANG,LAUT,45.59,513,11260
2020,MALUKU UTARA,HALMAHERA TIMUR,KERAPU,KERAPU KARANG,LAUT,42.39,1060,25000
2020,MALUKU UTARA,KOTA TIDORE KEPULAUAN,BIJI NANGKA,KUNIRAN; BIJI NANGKA,LAUT,39.64,793,20000
2020,MALUKU UTARA,KOTA TERNATE,TERI,TERI MEREK,LAUT,38.17,458,12000
2020,MALUKU UTARA,HALMAHERA TENGAH,KAKATUA,KAKATUA BIRU,LAUT,36.96,739,20000
2020,MALUKU UTARA,PULAU MOROTAI,SELAR,SELAR HIJAU,LAUT,34.8,696,20000
2020,MALUKU UTARA,HALMAHERA TENGAH,BARONANG,BARONANG ANGIN,LAUT,28.97,579,20000
2020,MALUKU UTARA,KOTA TERNATE,LAYUR,LAYUR,LAUT,25.87,475,18358
