aqua,hh_id,hh_id_data_link,iron_standardized_weekly_member_total,zinc_standardized_weekly_member_total,niacin_standardized_weekly_member_total,edible_weekly_member_total
nonaquatic,70596,309162,0.6989520697167757,0.8475690549450553,5.931620502645502,5717.855555555555
nonaquatic,70676,310727,0.3663376727372208,0.35879492874493935,0.558545006448305,4719.040854700854
nonaquatic,70725,311491,0.39877599784306417,0.41020831990231993,0.4828408172074837,3704.527777777778
nonaquatic,70730,313897,0.3704285242430307,0.31070097305472305,0.438364070552463,3448.6750000000006
nonaquatic,70746,312120,0.9649406008625676,0.8199689240537245,1.0170871497285772,7290.935555555556
nonaquatic,70782,313378,0.5237669321718655,0.343612439907461,0.5082933375424861,3200.5150427350427
nonaquatic,70822,311870,0.44675548620892197,0.5116021785601229,0.6795754493399419,2908.29012345679
nonaquatic,70828,310541,0.49797128184607203,0.4333689858712717,0.701665605766115,8929.433333333334
nonaquatic,70883,311521,0.5250658730195227,0.5523172385290149,0.667766783282173,3870.4604700854698
nonaquatic,70912,313460,0.3652294784831904,0.3134646790037951,0.4728627213605832,7099.706938775511
nonaquatic,70955,314368,1.190028201121719,1.2423893126809697,2.3794510259228403,22594.380952380954
nonaquatic,71009,311558,1.0774484477197175,1.3606843610074142,1.4495590767684277,17665.854273504272
nonaquatic,71017,309256,1.1307634742656756,1.2523059443889448,5.342764010894211,13634.041666666668
nonaquatic,71292,309802,0.7788020124549935,0.8184816588105187,0.7644828927456879,18552.024955908288
nonaquatic,71376,313173,0.44448437208216646,0.4454607417582417,3.6689721397649957,3727.2055555555567
nonaquatic,71420,314274,0.4810762546685343,0.49885027564102563,0.7508515589569152,4178.3
nonaquatic,71450,311946,0.7860250073881127,1.1017208145941781,0.9040946926614944,7565.161068376068
nonaquatic,71484,311947,0.6561709459734142,0.6649739003705847,0.7106410515405969,5105.36809116809
nonaquatic,71617,313179,0.6091198506069097,0.645467224908425,2.6502963718820864,5048.82
nonaquatic,71750,310924,0.40386554621848747,0.7302857142857146,0.7520408163265294,7650
nonaquatic,71897,311331,1.092684454439125,0.7936219675562532,1.0691164093842658,26940.833333333332
nonaquatic,71953,309105,0.3937854808590105,0.5175733333333334,0.5400959467120173,3470.25
